id,age,sex,region,education,height_cm,income_man
699,54,M,east,high_school,176.4,479.5
700,61,F,south,bachelor,153.5,497.4
701,55,F,south,master,161.6,370.1
702,30,F,central,bachelor,153.9,718.4
703,30,F,east,vocational,150.3,434.9
704,41,M,west,bachelor,168.8,412.5
705,36,F,south,vocational,158.7,410.2
706,27,M,west,vocational,159.4,334.8
707,36,M,south,bachelor,163.9,307.2
708,36,M,west,vocational,171.1,425.2
709,33,F,east,bachelor,155.8,311.4
710,38,F,south,master,160.5,316.7
711,57,M,north,phd,163.5,310.4
712,45,M,east,high_school,175.4,334.1
713,74,M,west,vocational,163.7,706.3
714,44,M,south,high_school,181.2,275.0
715,38,M,central,vocational,160.4,1681.2
716,42,F,east,high_school,151.9,594.6
717,45,M,north,high_school,173.6,833.9
718,48,F,central,bachelor,167.9,811.2
719,69,M,north,bachelor,173.0,1729.4
720,31,M,east,master,174.5,335.6
721,53,M,east,high_school,171.1,106.1
722,45,F,west,high_school,152.2,294.8
723,22,F,central,vocational,155.4,393.6
724,52,M,south,high_school,163.5,468.6
725,58,F,south,high_school,150.8,480.9
726,31,F,east,phd,160.5,1104.9
727,42,F,east,high_school,151.7,450.7
728,20,F,west,high_school,160.1,381.1
729,26,F,north,bachelor,150.6,229.5
730,56,M,east,bachelor,172.8,327.2
731,36,F,east,bachelor,155.4,1113.8
732,28,F,north,vocational,166.4,350.1
733,45,F,west,master,160.1,409.1
734,35,F,south,high_school,165.4,237.3
735,36,F,north,vocational,153.8,265.0
736,52,M,west,bachelor,171.3,394.9
737,27,F,south,master,152.5,219.3
738,30,F,south,vocational,155.8,150.7
739,44,F,south,bachelor,156.7,453.5
740,55,F,west,high_school,154.0,293.6
741,58,F,central,high_school,151.2,759.8
742,33,F,east,high_school,150.0,380.5
743,54,M,east,bachelor,156.5,683.7
744,32,F,east,high_school,152.1,211.7
745,66,M,west,bachelor,174.9,580.9
746,27,F,east,high_school,148.9,354.2
747,59,F,east,master,150.3,941.6
748,33,F,south,master,168.6,470.4
749,68,M,east,high_school,167.1,834.0
750,50,M,east,high_school,173.0,426.8
751,29,F,north,high_school,161.9,467.2
752,35,F,west,master,162.0,390.1
753,52,F,east,high_school,149.4,147.3
754,56,F,east,bachelor,156.9,641.5
755,41,M,east,vocational,161.0,649.8
756,43,F,south,bachelor,172.4,685.6
757,52,F,central,bachelor,148.9,681.2
758,44,M,west,bachelor,164.5,450.1
759,25,F,south,phd,152.2,304.6
760,31,F,central,high_school,149.5,424.3
761,45,M,central,master,179.4,786.9
762,58,F,west,high_school,172.3,303.6
763,63,F,central,vocational,155.4,867.2
764,52,F,central,master,150.5,375.6
765,46,M,south,bachelor,157.1,403.2
766,52,F,west,bachelor,156.8,1328.3
767,33,F,north,high_school,156.4,522.2
768,40,F,north,vocational,154.4,327.7
769,31,F,west,vocational,159.5,410.0
770,26,M,west,bachelor,173.5,452.5
771,46,F,east,vocational,160.1,93.9
772,44,M,west,vocational,169.0,273.6
773,51,M,west,high_school,164.2,416.3
774,49,M,central,high_school,175.1,346.5
775,45,F,north,vocational,158.3,482.5
776,49,M,east,high_school,176.5,784.6
777,41,M,south,master,175.9,499.9
778,47,F,central,bachelor,150.0,290.3
779,33,M,central,high_school,162.1,418.2
780,47,M,central,bachelor,166.3,468.6
781,51,F,central,master,152.1,556.3
782,33,M,east,high_school,175.7,297.9
783,43,F,east,high_school,160.2,1267.2
784,34,M,east,high_school,177.8,103.6
785,35,M,west,high_school,173.5,291.3
786,27,F,central,bachelor,159.4,392.2
787,58,M,east,phd,178.4,495.5
788,56,F,west,high_school,160.9,671.1
789,49,M,east,bachelor,171.4,892.1
790,68,M,east,high_school,180.2,448.8
791,40,F,east,bachelor,158.9,416.2
792,81,F,north,bachelor,156.4,540.2
793,39,F,central,vocational,153.3,372.1
794,45,F,east,high_school,162.3,360.9
795,37,F,central,bachelor,165.4,419.2
796,47,F,south,phd,157.9,752.3
797,53,F,east,high_school,165.8,608.1
798,41,F,east,high_school,146.8,183.6
799,65,M,south,high_school,170.7,256.9
800,45,M,east,bachelor,170.8,210.5
